listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
196,https://www.rvezy.com/rv-rental/alberta_bragg-creek_motorhome_classa_coachmen_pursuit_52988d,Rent my 2014 Coachmen Pursuit from $454/night | RVezy,,Calgary,AB,Class A,2014.0,Coachmen,Pursuit,30.0,630,2.0,,,,454.0,1.0,0,1,200.0,4.68,4.1,5.0,4.0,4.2,3.6,4.6,1,1,0,,,
199,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_other_palamino-puma_7c1ad3,Rent my 2010 Forest River Palomino Puma from $126/night | RVezy,199.0,Calgary,AB,Travel Trailer,2010.0,Forest,River Palomino Puma,20.0,420,,3500.0,"1 7/8""",1500.0,126.0,1.0,1,0,,,,,,,,,1,1,0,Rick,100.0,0.0
202,https://www.rvezy.com/rv-rental/alberta_rocky-view_traveltrailer_traveltrailer_highland-ridge-rv_242rl_a18860,Rent my 2022 Highland Ridge RV 242RL from $161/night | RVezy,202.0,Calgary,AB,Travel Trailer,2022.0,Highland,Ridge RV 242RL,29.0,629,1.0,7000.0,"2 5/16""",645.0,161.0,1.0,1,1,250.0,2.5,5.0,3.0,5.0,5.0,5.0,5.0,1,1,1,Ryan,100.0,0.0
205,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_adventurer-lp_23rb_000c5a,Rent my 2019 Other 23RB from $328/night | RVezy,,Calgary,AB,Class C,2019.0,Other,23RB,23.0,523,,,,,328.0,1.0,0,0,,,4.9,13.0,4.8,4.8,4.9,4.9,1,1,0,,,
206,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_heartland_edge-m22_eabdde,Rent my 2011 Heartland Edge M22 from $135/night | RVezy,206.0,Calgary,AB,Travel Trailer,2011.0,Heartland,Edge M22,26.0,226,1.0,3690.0,"2 5/16""",390.0,135.0,1.0,1,1,200.0,3.33,,,,,,,0,0,1,Richard,100.0,1.0
208,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_hideout_db7807,Rent my 2022 Keystone Hideout from $155/night | RVezy,208.0,Calgary,AB,Travel Trailer,2022.0,Keystone,Hideout,21.0,421,,4000.0,"2""",500.0,155.0,1.0,1,0,,,,,,,,,1,1,0,Rj,100.0,0.0
209,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_hideout_4db041,Rent my 2023 Keystone Hideout from $150/night | RVezy,209.0,Calgary,AB,Travel Trailer,2023.0,Keystone,Hideout,34.0,234,2.0,7600.0,"2 5/16""",900.0,150.0,1.0,1,1,150.0,2.0,,,,,,,0,0,1,Dave,100.0,0.0
210,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_dutchmen_aspen-trail_a9a86c,Rent my 2017 Dutchmen Aspen Trail from $144/night | RVezy,210.0,Calgary,AB,Travel Trailer,2017.0,Dutchmen,Aspen Trail,24.0,624,1.0,5514.0,"2 5/16""",552.0,144.0,1.0,1,0,,,5.0,3.0,5.0,5.0,5.0,5.0,0,0,1,Jennifer,100.0,1.0
211,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_thor-motor-coach_four-winds,Rent my 2013 Thor Motor Coach Four Winds from $230/night | RVezy,211.0,Calgary,AB,Class C,2013.0,Thor,Motor Coach Four Winds,28.0,628,1.0,,,,230.0,1.0,1,1,25.0,1.0,5.0,19.0,4.9,4.9,4.9,5.0,1,1,0,Constance,93.0,0.0
213,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_other_odyssey_fc7952,Rent my 2010 Honda Odyssey from $207/night | RVezy,213.0,Calgary,AB,,2010.0,Honda,Odyssey,17.0,217,,,,,207.0,1.0,0,1,50.0,4.0,,,,,,,1,1,0,KB,100.0,0.0
