host_id,name,joined_year,response_rate,is_superhost,listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_total_listings
100,Don,2024,100,1,100,https://www.rvezy.com/rv-rental/alberta_red-deer_traveltrailer_traveltrailer_other_kz-280bhss_3c7b67,Rent my 2014 Thor Motor Coach Sportsmen KZ-280BHSS from $167/night | RVezy,100,Red-Deer,AB,Travel Trailer,2014.0,Thor,Motor Coach Sportsmen KZ-280BHSS,28.0,628,1.0,5450.0,"2""",680.0,167.0,1.0,0,1,100.0,2.25,4.9,3.0,5.0,4.7,5.0,5.0,0,0,0,2
102,Tom,2023,100,1,102,https://www.rvezy.com/rv-rental/alberta_red-deer_traveltrailer_traveltrailer_cherokee_black-label,Rent my 2021 Other Black Label from $150/night | RVezy,102,Red-Deer,AB,Travel Trailer,2021.0,Other,Black Label,32.0,632,1.0,6383.0,"2""",720.0,150.0,750.0,1,1,125.0,2.5,4.9,19.0,4.8,4.7,5.0,5.0,1,1,0,2
102,Tom,2023,100,1,283,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_jayco_jayco-flight_e9625f,Rent my 2022 Jayco Jayco flight from $144/night | RVezy,102,Calgary,AB,Travel Trailer,2022.0,Jayco,Jayco flight,21.0,621,1.0,3500.0,"2""",375.0,144.0,500.0,1,0,,,,,,,,,0,0,0,2
112,Mark,2025,100,0,112,https://www.rvezy.com/rv-rental/alberta_red-deer_traveltrailer_traveltrailer_keystone_coleman-lantern_c30684,Cozy & Fully Loaded 21.5’ trailer – Sleeps 5 with Fireplace and A/C,112,Red-Deer,AB,Travel Trailer,,,,21.0,5,,2985.0,"2 5/16""",385.0,,1.0,1,1,,,4.6,3.0,5.0,4.0,5.0,4.5,0,0,0,2
112,Mark,2025,100,0,592,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classb_pleasure-way_tofino_1751a0,Ram Promaster - Pleasureway Tofino Pop Top Full Camper- Sleeps 4!,112,Calgary,AB,Class B,,,,18.0,4,,,,,,1.0,1,1,150.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,1,1,0,2
127,Paul,2025,100,0,369,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_shasta_revere-28qb_c2a043,Rent my 2016 Shasta Revere 28QB from $138/night | RVezy,127,Calgary,AB,Travel Trailer,2016.0,Shasta,Revere 28QB,30.0,1030,1.0,6800.0,"2 5/16""",620.0,138.0,1.0,1,1,250.0,2.25,,,,,,,0,0,1,2
127,Paul,2025,100,0,127,https://www.rvezy.com/rv-rental/alberta_sylvan-lake_traveltrailer_traveltrailer_coachmen_apex_d4a279,Rent my 2014 Coachmen Apex from $121/night | RVezy,127,Sylvan-Lake,AB,Travel Trailer,2014.0,Coachmen,Apex,26.0,626,1.0,6500.0,"2 5/16""",1.0,121.0,1.0,0,1,150.0,2.5,5.0,3.0,5.0,5.0,5.0,5.0,0,0,0,2
129,Alyssa,2023,100,0,129,https://www.rvezy.com/rv-rental/alberta_sundre_traveltrailer_fifthwheel_keystone_laredo_aa4729,Rent my 2018 Keystone Laredo from $180/night | RVezy,129,Sundre,AB,Travel Trailer,2018.0,Keystone,Laredo,29.0,629,4.0,10600.0,,,180.0,1.0,1,1,200.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,0,0,0,2
129,Alyssa,2023,100,0,130,https://www.rvezy.com/rv-rental/alberta_sundre_traveltrailer_traveltrailer_forest-river_flagstaff-27bhs_924d23,Rent my 2011 Forest River Flagstaff 27BHS from $150/night | RVezy,129,Sundre,AB,Travel Trailer,2011.0,Forest,River Flagstaff 27BHS,27.0,627,1.0,6570.0,"2 5/16""",570.0,150.0,1.0,1,1,200.0,4.0,,,,,,,0,0,0,2
132,Carter,2025,100,0,132,https://www.rvezy.com/rv-rental/alberta_aldersyde_traveltrailer_traveltrailer_other_wave-29bhs_c0d6dc,Family-Friendly Thor Wave 29BHS Travel Trailer – Comfort & Convenience on the Road!,132,Aldersyde,AB,Travel Trailer,,,,29.0,729,1.0,5500.0,"2 5/16""",550.0,,1.0,1,1,75.0,2.5,,,,,,,1,1,1,2
